# Matter power spectrum P(k) at redshift z=0
# for k=0.000211077 to 1.07544 h/Mpc,
# number of wavenumbers equal to 523
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.110768650568e-04       7.190571457751e+03 
       2.271295181356e-04       6.220751794006e+03 
       2.436732739105e-04       5.457664584620e+03 
       2.607558210849e-04       4.849390048954e+03 
       2.784284276263e-04       4.359171834869e+03 
       2.967462948817e-04       3.960485210005e+03 
       3.157689293343e-04       3.633860664330e+03 
       3.355605288077e-04       3.364790754837e+03 
       3.561903780485e-04       3.142320313252e+03 
       3.777332462123e-04       2.958078790915e+03 
       4.002697757353e-04       2.805604851341e+03 
       4.238868483229e-04       2.679866757120e+03 
       4.486779092607e-04       2.576917454101e+03 
       4.747432259551e-04       2.493642012465e+03 
       5.021900506301e-04       2.427572049987e+03 
       5.311326506726e-04       2.376745202793e+03 
       5.616921636658e-04       2.339599679748e+03 
       5.939962283864e-04       2.314892441452e+03 
       6.281783389829e-04       2.301635473285e+03 
       6.643768685951e-04       2.299045257826e+03 
       7.027337124927e-04       2.306501456469e+03 
       7.433925112817e-04       2.323513156793e+03 
       7.864964335795e-04       2.349690051569e+03 
       8.321855259392e-04       2.384717583809e+03 
       8.805936756732e-04       2.428334897712e+03 
       9.318452776769e-04       2.480315587283e+03 
       9.860517451620e-04       2.540450221406e+03 
       1.043308049745e-03       2.608531243167e+03 
       1.103689510247e-03       2.684340155485e+03 
       1.167249063218e-03       2.767636449605e+03 
       1.234015234898e-03       2.858150791692e+03 
       1.303990991472e-03       2.955579639801e+03 
       1.377153575283e-03       3.059563039729e+03 
       1.453455348090e-03       3.169732103582e+03 
       1.532825571820e-03       3.285694096078e+03 
       1.615172976869e-03       3.407015948124e+03 
       1.700388909975e-03       3.533244808278e+03 
       1.788350824876e-03       3.663915807167e+03 
       1.878925880169e-03       3.798559242062e+03 
       1.971974435259e-03       3.936708631417e+03 
       2.067353278686e-03       4.077906253281e+03 
       2.164918474298e-03       4.221709140721e+03 
       2.264527761269e-03       4.367693643354e+03 
       2.366042488102e-03       4.515458686268e+03 
       2.469329095115e-03       4.664627757819e+03 
       2.574260183663e-03       4.814850782303e+03 
       2.680715224312e-03       4.965804017157e+03 
       2.788580962068e-03       5.117190102670e+03 
       2.897751576732e-03       5.268737539963e+03 
       3.008128652462e-03       5.420199232301e+03 
       3.119621004418e-03       5.571351804116e+03 
       3.232144403147e-03       5.721993576371e+03 
       3.345621230144e-03       5.871943490651e+03 
       3.459980091216e-03       6.021038816359e+03 
       3.575155408279e-03       6.169135175817e+03 
       3.691087005141e-03       6.316102690860e+03 
       3.807719698565e-03       6.461827782065e+03 
       3.925002902578e-03       6.606207453113e+03 
       4.042890251321e-03       6.749153484050e+03 
       4.161339243692e-03       6.890587613044e+03 
       4.280310911550e-03       7.030440276937e+03 
       4.399769512077e-03       7.168652390671e+03 
       4.519682244152e-03       7.305172259884e+03 
       4.640018987999e-03       7.439953809080e+03 
       4.760752067042e-03       7.572963027374e+03 
       4.881856030659e-03       7.704163085474e+03 
       5.003307456425e-03       7.833530242218e+03 
       5.125084770373e-03       7.961040256040e+03 
       5.247168083838e-03       8.086672384912e+03 
       5.369539045469e-03       8.210420253472e+03 
       5.492180707074e-03       8.332266534332e+03 
       5.615077402034e-03       8.452205262072e+03 
       5.738214635137e-03       8.570230330871e+03 
       5.861578982729e-03       8.686341357241e+03 
       5.985158002208e-03       8.800535071980e+03 
       6.108940149961e-03       8.912812143159e+03 
       6.232914706909e-03       9.023176270043e+03 
       6.357071710940e-03       9.131636197218e+03 
       6.481401895527e-03       9.238192015359e+03 
       6.605896633960e-03       9.342866867373e+03 
       6.730547888617e-03       9.445648650844e+03 
       6.855348164795e-03       9.546548820853e+03 
       6.980290468658e-03       9.645578060235e+03 
       7.105368268902e-03       9.742733418907e+03 
       7.230575461779e-03       9.838070815870e+03 
       7.355906339162e-03       9.931576691616e+03 
       7.481355559356e-03       1.002326929121e+04 
       7.606918120402e-03       1.011318529853e+04 
       7.732589335640e-03       1.020129251497e+04 
       7.858364811307e-03       1.028758219762e+04 
       7.984240426011e-03       1.037214488417e+04 
       8.110212311875e-03       1.045496039202e+04 
       8.236276837226e-03       1.053604567320e+04 
       8.362430590672e-03       1.061541874443e+04 
       8.488670366460e-03       1.069309188312e+04 
       8.614993150983e-03       1.076907999307e+04 
       8.741396110351e-03       1.084340020863e+04 
       8.867876578921e-03       1.091606311425e+04 
       8.994432048712e-03       1.098709379440e+04 
       9.121060159633e-03       1.105650251330e+04 
       9.247758690435e-03       1.112430734871e+04 
       9.374525550355e-03       1.119052145094e+04 
       9.501358771371e-03       1.125516310606e+04 
       9.628256501027e-03       1.131824979195e+04 
       9.755216995790e-03       1.137978944769e+04 
       9.882238614877e-03       1.143980658126e+04 
       1.000931981453e-02       1.149831328834e+04 
       1.013645914270e-02       1.155532689186e+04 
       1.026365523411e-02       1.161086140665e+04 
       1.039090680564e-02       1.166493280449e+04 
       1.051821265208e-02       1.171755764284e+04 
       1.064557164215e-02       1.176875020588e+04 
       1.077298271476e-02       1.181852539675e+04 
       1.090044487560e-02       1.186689928185e+04 
       1.102795719390e-02       1.191389120994e+04 
       1.115551879944e-02       1.195950911123e+04 
       1.128312887975e-02       1.200376887405e+04 
       1.141078667751e-02       1.204668998019e+04 
       1.153849148810e-02       1.208828634543e+04 
       1.166624265732e-02       1.212856908605e+04 
       1.179403957933e-02       1.216755300824e+04 
       1.192188169456e-02       1.220526133373e+04 
       1.204976848799e-02       1.224169626231e+04 
       1.217769948731e-02       1.227687835516e+04 
       1.230567426137e-02       1.231081855965e+04 
       1.243369241868e-02       1.234353720773e+04 
       1.256175360597e-02       1.237504356667e+04 
       1.268985750689e-02       1.240535108543e+04 
       1.281800384082e-02       1.243447807087e+04 
       1.294619236168e-02       1.246243166647e+04 
       1.307442285690e-02       1.248922700388e+04 
       1.320269514644e-02       1.251489008510e+04 
       1.333100908183e-02       1.253941390155e+04 
       1.345936454534e-02       1.256282806163e+04 
       1.358776144921e-02       1.258513787796e+04 
       1.371619973486e-02       1.260636936029e+04 
       1.384467937223e-02       1.262650730774e+04 
       1.397320035917e-02       1.264558465037e+04 
       1.410176272084e-02       1.266361253328e+04 
       1.423036650916e-02       1.268060674228e+04 
       1.435901180234e-02       1.269657713553e+04 
       1.448769870442e-02       1.271152786862e+04 
       1.461642734486e-02       1.272548173075e+04 
       1.474519787819e-02       1.273844081944e+04 
       1.487401048361e-02       1.275043210092e+04 
       1.500286536476e-02       1.276145802329e+04 
